,Unnamed: 0,version,location_scheme,datastream_scheme,l_combo,ds_combo,input_days,output_days,loss,mse,f1,precision,recall,true_positives,true_negatives,false_positives,false_negatives,dataset_size,training_time,experiment_name,dataset_name,epochs,network,letter,Max_or_Min
140,140.0,1.0,1.0,1.0,9.0,2.0,30.0,1.0,0.19491837918758392,0.19491837918758392,0.0,0.0,0.0,0.0,475.0,0.0,203.0,3389.0,102.7523729801178,17_D_exp8,17_D.v1.l1.ds1.l_combo9.ds_combo2.idays30.odays1,49.0,Network 1,D,Min
141,141.0,1.0,1.0,1.0,9.0,2.0,30.0,7.0,0.1987876892089844,0.1987877041101456,0.0,0.0,0.0,0.0,3314.0,0.0,1425.0,3383.0,36.38239550590513,17_D_exp8,17_D.v1.l1.ds1.l_combo9.ds_combo2.idays30.odays7,17.0,Network 1,D,Min
142,142.0,1.0,1.0,1.0,9.0,2.0,60.0,1.0,0.1953997164964676,0.1953997164964676,0.0,0.0,0.0,0.0,475.0,0.0,197.0,3359.0,80.73017382621767,17_D_exp8,17_D.v1.l1.ds1.l_combo9.ds_combo2.idays60.odays1,38.0,Network 1,D,Min
143,143.0,1.0,1.0,1.0,9.0,2.0,60.0,7.0,0.1936935931444168,0.1936935931444168,0.0,0.0,0.0,0.0,3313.0,0.0,1384.0,3353.0,97.7674686908722,17_D_exp8,17_D.v1.l1.ds1.l_combo9.ds_combo2.idays60.odays7,45.0,Network 1,D,Min
148,148.0,1.0,1.0,1.0,9.0,4.0,30.0,1.0,0.17809149622917175,0.17809149622917175,0.0,0.0,0.0,0.0,475.0,0.0,198.0,3363.0,53.977333784103394,17_D_exp8,17_D.v1.l1.ds1.l_combo9.ds_combo4.idays30.odays1,25.0,Network 1,D,Min
149,149.0,1.0,1.0,1.0,9.0,4.0,30.0,7.0,0.18301860988140106,0.18301862478256226,0.0,0.0,0.0,0.0,3313.0,0.0,1391.0,3357.0,57.79363679885864,17_D_exp8,17_D.v1.l1.ds1.l_combo9.ds_combo4.idays30.odays7,27.0,Network 1,D,Min
150,150.0,1.0,1.0,1.0,9.0,4.0,60.0,1.0,0.1686427891254425,0.1686427891254425,0.0,0.0,0.0,0.0,473.0,0.0,194.0,3333.0,60.808382987976074,17_D_exp8,17_D.v1.l1.ds1.l_combo9.ds_combo4.idays60.odays1,29.0,Network 1,D,Min
151,151.0,1.0,1.0,1.0,9.0,4.0,60.0,7.0,0.18279235064983368,0.18279236555099487,0.0,0.0,0.0,0.0,3305.0,0.0,1357.0,3327.0,49.547383308410645,17_D_exp8,17_D.v1.l1.ds1.l_combo9.ds_combo4.idays60.odays7,23.0,Network 1,D,Min
156,156.0,1.0,1.0,1.0,10.0,2.0,30.0,1.0,0.2407076358795166,0.2407076358795166,0.0,0.0,0.0,0.0,247.0,0.0,166.0,2062.0,15.095898628234865,17_D_exp8,17_D.v1.l1.ds1.l_combo10.ds_combo2.idays30.odays1,11.0,Network 1,D,Min
157,157.0,1.0,1.0,1.0,10.0,2.0,30.0,7.0,0.2444624304771424,0.2444624304771424,0.0,0.0,0.0,0.0,1723.0,0.0,1161.0,2056.0,54.93985056877136,17_D_exp8,17_D.v1.l1.ds1.l_combo10.ds_combo2.idays30.odays7,41.0,Network 1,D,Min
158,158.0,1.0,1.0,1.0,10.0,2.0,60.0,1.0,0.25806248188018804,0.25806248188018804,0.0,0.0,0.0,0.0,241.0,0.0,166.0,2032.0,130.5933737754822,17_D_exp8,17_D.v1.l1.ds1.l_combo10.ds_combo2.idays60.odays1,100.0,Network 1,D,Min
159,159.0,1.0,1.0,1.0,10.0,2.0,60.0,7.0,0.2184135913848877,0.2184135913848877,0.0,0.0,0.0,0.0,1689.0,0.0,1153.0,2026.0,85.0596408843994,17_D_exp8,17_D.v1.l1.ds1.l_combo10.ds_combo2.idays60.odays7,63.0,Network 1,D,Min
172,172.0,1.0,1.0,1.0,11.0,2.0,30.0,1.0,0.199133962392807,0.199133962392807,0.0,0.0,0.0,0.0,452.0,0.0,170.0,3110.0,21.973220109939575,17_D_exp8,17_D.v1.l1.ds1.l_combo11.ds_combo2.idays30.odays1,11.0,Network 1,D,Min
173,173.0,1.0,1.0,1.0,11.0,2.0,30.0,7.0,0.21598286926746368,0.2159828543663025,0.0,0.0,0.0,0.0,3162.0,0.0,1185.0,3104.0,22.3838210105896,17_D_exp8,17_D.v1.l1.ds1.l_combo11.ds_combo2.idays30.odays7,11.0,Network 1,D,Min
174,174.0,1.0,1.0,1.0,11.0,2.0,60.0,1.0,0.19628362357616425,0.19628362357616425,0.0,0.0,0.0,0.0,450.0,0.0,166.0,3080.0,21.517482042312626,17_D_exp8,17_D.v1.l1.ds1.l_combo11.ds_combo2.idays60.odays1,11.0,Network 1,D,Min
175,175.0,1.0,1.0,1.0,11.0,2.0,60.0,7.0,0.22486019134521484,0.22486016154289248,0.0,0.0,0.0,0.0,3143.0,0.0,1162.0,3074.0,22.002084970474247,17_D_exp8,17_D.v1.l1.ds1.l_combo11.ds_combo2.idays60.odays7,11.0,Network 1,D,Min
