,Date,Year,YearDay,Hours,RECORD,Flag_RECORD,Sitename,Batt_V_Min,Flag_Batt_V_Min,Batt_V_TMn,Ptemp_C_Avg,Flag_Ptemp_C_Avg,Air_TempC_Avg,Flag_Air_TempC_Avg,Air_TempC_Max,Flag_Air_TempC_Max,Air_TempC_Min,Flag_Air_TempC_Min,Relative_Humidity_Avg,Flag_Relative_Humidity_Avg,Relative_Humidity_Max,Flag_Relative_Humidity_Max,Relative_Humidity_Min,Flag_Relative_Humidity_Min,Ppt_mm_Tot,Flag_Ppt_mm_Tot,Ws_Mean_300cm,Flag_Ws_Mean_300cm,Ws_mean_Resultant_300cm,Flag_Ws_mean_Resultant_300cm,WinDir_mean_Resultant,Flag_WinDir_mean_Resultant,WinDir_Std_Dev,Flag_WinDir_Std_Dev,WS_ms_75cm_Avg,Flag_WS_ms_75cm_Avg,WS_ms_150cm_Avg,Flag_WS_ms_150cm_Avg,WS_ms_300cm_Avg,Flag_WS_ms_300cm_Avg,WS_ms_75cm_Max,Flag_WS_ms_75cm_Max,WS_ms_150cm_Max,Flag_WS_ms_150cm_Max,WS_ms_300cm_Max,Flag_WS_ms_300cm_Max,WS_ms_75cm_Min,Flag_WS_ms_75cm_Min,WS_ms_150cm_Min,Flag_WS_ms_150cm_Min,WS_ms_300cm_Min,Flag_WS_ms_300cm_Min,Date_datetime,Batt_V_TMn_datetime
3107,2022-02-28 00:00:00,2022,59,23.9997,929.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.81,A,2022-02-28 06:28:20,8.63,A,8.66,A,19.02,A,-3.26,A,14.97,A,26.47,A,7.61,A,0.0,A,1.44,A,1.216,A,334.0,A,27.01,A,0.6409999999999999,A,0.55,A,1.439,A,5.5760000000000005,A,5.5920000000000005,A,6.343999999999999,A,0.0,A,0.0,A,0.0,A,2022-02-28 00:00:00,2022-02-28 06:28:20
3108,2022-03-01 00:00:00,2022,60,23.9997,930.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.88,A,2022-03-01 06:28:38,13.89,A,12.54,A,24.54,A,2.81,A,14.71,A,21.47,A,7.28,A,0.0,A,1.662,A,0.917,A,329.0,A,48.94,A,0.7959999999999999,A,0.665,A,1.661,A,4.828,A,5.5920000000000005,A,6.343999999999999,A,0.0,A,0.0,A,0.0,A,2022-03-01 00:00:00,2022-03-01 06:28:38
3109,2022-03-02 00:00:00,2022,61,23.9997,931.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.84,A,2022-03-02 06:28:33,12.75,A,12.28,A,25.94,A,-1.94,A,14.43,A,25.39,A,5.61,A,0.0,A,1.328,A,0.774,A,335.0,A,41.91,A,0.632,A,0.539,A,1.328,A,5.5760000000000005,A,6.337999999999999,A,7.0920000000000005,A,0.0,A,0.0,A,0.0,A,2022-03-02 00:00:00,2022-03-02 06:28:33
3110,2022-03-03 00:00:00,2022,62,23.9997,932.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.84,A,2022-03-03 06:23:32,13.06,A,13.36,A,24.22,A,0.69,A,19.86,A,49.14,A,8.86,A,0.0,A,2.024,A,1.195,A,271.0,A,45.89,A,1.162,A,1.181,A,2.023,A,7.82,A,9.32,A,10.08,A,0.0,A,0.0,A,0.0,A,2022-03-03 00:00:00,2022-03-03 06:23:32
3111,2022-03-04 00:00:00,2022,63,23.9997,933.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.92,A,2022-03-04 06:23:46,17.62,A,17.07,A,24.6,A,8.81,A,33.94,A,87.4,A,9.55,A,0.1,A,5.042,A,4.369,A,248.0,A,28.67,A,3.116,A,3.812,A,5.041,A,13.8,A,15.29,A,16.07,A,0.0,A,0.0,A,0.0,A,2022-03-04 00:00:00,2022-03-04 06:23:46
3112,2022-03-05 00:00:00,2022,64,23.9997,934.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.91,A,2022-03-05 06:22:44,13.6,A,13.36,A,21.27,A,4.81,A,23.45,A,43.36,A,8.22,A,0.0,A,4.09,A,3.502,A,245.0,A,30.49,A,2.529,A,3.0180000000000002,A,4.092,A,10.06,A,11.56,A,13.82,A,0.0,A,0.0,A,0.0,A,2022-03-05 00:00:00,2022-03-05 06:22:44
3113,2022-03-06 00:00:00,2022,65,23.9997,935.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.89,A,2022-03-06 06:21:52,9.19,A,8.98,A,14.23,A,-1.62,A,23.91,A,40.75,A,11.34,A,0.0,A,5.6129999999999995,A,5.072,A,274.0,A,24.61,A,3.412,A,4.226,A,5.614,A,13.8,A,16.78,A,17.56,A,0.0,A,0.0,A,0.0,A,2022-03-06 00:00:00,2022-03-06 06:21:52
3114,2022-03-07 00:00:00,2022,66,23.9997,936.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.74,A,2022-03-07 06:22:26,5.74,A,5.54,A,15.81,A,-7.66,A,26.15,A,46.68,A,10.65,A,0.0,A,2.3280000000000003,A,1.369,A,214.0,A,47.57,A,1.317,A,1.429,A,2.327,A,11.56,A,12.31,A,12.33,A,0.0,A,0.0,A,0.0,A,2022-03-07 00:00:00,2022-03-07 06:22:26
3115,2022-03-08 00:00:00,2022,67,23.9997,937.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.8,A,2022-03-08 06:22:30,5.97,A,4.97,A,14.12,A,-3.28,A,32.51,A,75.06,A,11.19,A,0.0,A,2.334,A,1.6119999999999999,A,355.0,A,40.62,A,1.212,A,1.2670000000000001,A,2.333,A,7.82,A,8.58,A,10.83,A,0.0,A,0.0,A,0.0,A,2022-03-08 00:00:00,2022-03-08 06:22:30
3116,2022-03-09 00:00:00,2022,68,23.9997,938.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.73,A,2022-03-09 06:22:23,7.46,A,7.38,A,18.66,A,-6.99,A,18.19,A,29.48,A,8.66,A,0.0,A,3.173,A,2.7510000000000003,A,258.0,A,25.34,A,1.935,A,2.334,A,3.173,A,10.81,A,12.31,A,14.57,A,0.0,A,0.0,A,0.0,A,2022-03-09 00:00:00,2022-03-09 06:22:23
3117,2022-03-10 00:00:00,2022,69,23.9997,939.0,A,"0       1500
1       1500
2       1500
3       1500
4       1500
        ... 
3383    1500
3384    1500
3385    1500
3386    1500
3387    1500
Name: Sitename, Length: 3388, dtype: int64",12.84,A,2022-03-10 06:22:42,11.11,A,11.01,A,20.77,A,0.41,A,20.73,A,34.34,A,10.58,A,0.0,A,4.034,A,3.347,A,238.0,A,32.14,A,2.41,A,2.903,A,4.0360000000000005,A,11.56,A,13.8,A,15.32,A,0.0,A,0.0,A,0.0,A,2022-03-10 00:00:00,2022-03-10 06:22:42
